!amt_assignment_ids,!amt_worker_ids,!comment,!hypothesis,hypothesis,id,task,text,unit_id,value
YV6ZG2H0A0B8Z5X1WW50A3HZX1YQFWVZQK9TSXRZ,A11GX90QFWDLMM,"",No,"Was events Al Kusheh case emerged after the publication &quot; newspaper Sunday Telegraph &quot; the British on 25 last October writes an accused in which the Egyptian police &quot; with steel Copts and rape of their Families
",1324,MT,Al-Koshah&apos;s events had surfaced after the British &quot;Sunday Telegraph&quot; newspaper published last October 25 an article in which it accused Egyptian police of &quot;crucifying and raping Copts.&quot;,148653,FALSE
YV6ZG2H0A0B8Z5X1WW50A3HZX1YQFWVZQK9TSXRZ,A11GX90QFWDLMM,"",Yes,"Wounded nationals statement one British and three police and in the attack which ended the arrest 13
",1341,MT,"Two Western citizens, one of whom is British, three policemen and two kidnappers were wounded in the attack that ended in the arrest of 13 kidnappers.",148642,FALSE
YV6ZG2H0A0B8Z5X1WW50A3HZX1YQFWVZQK9TSXRZ,A11GX90QFWDLMM,"",Yes,"The group trains it&apos;s 200 members in the Nuba mountains.
",1307,MT,"The group owns a training camp in the Abyan mountains, and its membership is estimated at about 200 persons.",148652,FALSE
YV6ZG2H0A0B8Z5X1WW50A3HZX1YQFWVZQK9TSXRZ,A11GX90QFWDLMM,"",Yes,"Tansu Ciller&apos;s &quot;True Path&quot; party submitted the memo after Korkmaz Yigit aired a tape containing incriminating evidence on his television stations.
",1212,MT,"The &quot;True Path&quot; Party under the leadership of the former Foreign Minister, Tansu Ciller, submitted the memorandum following the airing of a recorded tape containing information disclosed by businessman Korkmaz Yigit yesterday evening, Tuesday, via two television channels he owns.",148641,FALSE
YV6ZG2H0A0B8Z5X1WW50A3HZX1YQFWVZQK9TSXRZ,A11GX90QFWDLMM,"",No,"Yigit also alleges that top politicians were aware of the relationship.
",1305,MT,"Yigit says that the Prime Minister and Minister of State for the Economy, Gunes Taner, knew about this relationship when he bought the state-owned Turkish Commercial Bank last July for 600 million dollars.",148639,TRUE
YV6ZG2H0A0B8Z5X1WW50A3HZX1YQFWVZQK9TSXRZ,A11GX90QFWDLMM,"",Yes,"Minister Cohen said that the United Nations will back the United States.
",1201,MT,"Defense Department Spokesman, Kenneth Bacon, said that &quot;Secretary Cohen is confident after this meeting, that the United States will get the support it needs to take appropriate measures to back the United Nations.&quot;",148640,FALSE
YV6ZG2H0A0B8Z5X1WW50A3HZX1YQFWVZQK9TSXRZ,A11GX90QFWDLMM,"",Yes,"The president may be removed from the House of Representatives.
",1334,MT,"The American president faces on Thursday a vote in the House of Representatives, and he may become the second president in the history of the United States voted to be removed by the House of Representatives.",148651,FALSE
YV6ZG2H0A0B8Z5X1WW50A3HZX1YQFWVZQK9TSXRZ,A11GX90QFWDLMM,"",Yes,"Heydar Aliyev, the current Azerbaijani president, is thought to have been re-elected.
",1277,MT,"Although the results of the Azerbaijani elections have not yet been officially revealed, outgoing president, Heydar Aliyev is already celebrating his win, claiming 75% of the votes.",148650,TRUE
YV6ZG2H0A0B8Z5X1WW50A3HZX1YQFWVZQK9TSXRZ,A11GX90QFWDLMM,"",Yes,"China is to accept the Euro.
",1254,MT,"It was reported today in The Chinese People newspaper, that the Central Bank of China and the National Monetary Authority approved the use of the EURO, from the first week of January.",148649,TRUE
YV6ZG2H0A0B8Z5X1WW50A3HZX1YQFWVZQK9TSXRZ,A11GX90QFWDLMM,"",Yes,"Egyptian television will make a series about Moslems, Copts and Boutros Boutros Ghali.
",1265,MT,"Egyptian television is preparing to film a series that highlights the unity and cohesion of Moslems and Copts as the single fabric of the Egyptian society, exemplifying in particular the story of former United Nations Secretary-General Boutros Ghali.",148638,TRUE
